sifra_umetnika,ime_umetnika,biografija,debut,tip
235714,Busker Busker,"Busker Busker is an indie band that exploded onto mainstream through the popular show Super Star K 3 in 2011. They ended up winning runner-up on the show.     The group is made up of the guitarist and vocalist Jang Bum-joon, drummer Brad Moore, and bassist Kim Hyung-tae. The band first came together under the vision of Jang, who wanted to create a busking art group that focused mainly on street performances, contributing to the art and street culture of Korea. He wanted to achieve this using art mediums beyond just music, hoping to one day create even festivals that showcased budding local talent.      There were previous members in the band (all university students, mostly from Sang-myung University). Before Brad joined, the band went by the name Pinky Pinky. However, the current drummer had to leave the group to fulfill his mandatory military duties, thus opening up the spot for Brad who was an English professor at the university at the time. Aside from the three members, many other members rotated in and out of the band over time.      The group started putting on performances in a local Cheonan park in the summer of 2011 where they began accumulating quite a fan base. The three then applied for the auditions for Super Star K 3 on their own, aside from the other band members, because they were the only ones with such accommodating schedules.     Interestingly enough, Busker Busker was actually eliminated early on, having only made the Top 48. However, later one, a band that had made it into the Top 10 dropped out, which resulted in a second chance for Busker Busker and another band called Haze. From the Top 11 on, Busker Busker survived every ensuing round until they were in the top 3. They made good on a promise they had made earlier on, strip dancing on the streets of Hongdae. Finally, they were up against Oolala Session in the final round, with Oolala Session winning the top prize.   The band released their first official debut album the following year in March 2012.",2011,SO
362867,Jang beom-jun,"Jang Beom-jun is a singer and leader of the group Busker Busker. The group took part in the cable audition show &ldquo;Superstart K3&rdquo; and were semi-finalists. After gaining recognition from the show, the group debuted in 2012 with the album &ldquo;Busker Busker&rdquo;. Jang is not only the leader of the group Busker Busker but he also writes and arranges their songs.",2011,SO
277431,Wanna One,"Wanna One is a South Korean boy band created through the 2017 cable TV series, Produce 101 Season 2. The group consists of eleven members: Kang Daniel, Park Ji-hoon, Lee Dae-hwi, Kim Jae-hwan, Ong Seong-wu, Park Woo-jin, Lai Kuan-lin, Yoon Ji-sung, Hwang Min-hyun, Bae Jin-young and Ha Sung-woon. The group debuted on August 7, 2017 and will be promoting until December 31, 2018 under YMC Entertainment and CJ E&M.",2017,SO
233581,SHINee,"SHINee is a contemporary band comprised of five teenagers between the ages of 14 and 18. The hot quintet has set out to become the leaders of fashion, dance, as well as the music industry. The ambitious band is a production of SM Entertainment, the creator of Korea’s biggest idol groups H.O.T. and Super Junior, and international star BoA. Having both childlike innocence and masculine charisma, the five fresh-faced boys have endeared themselves to women in their 20s and 30s. They tell those who remain skeptical about their musical talents not to dismiss them just because of their youth and inexperience. SHINee certainly has the charm and potential to become the next hot boy band in Korea.",,SO
347972,BTS,"BTS, also known as the Bangtan Boys, is a seven-member boy band formed by Big Hit Entertainment. They made a phenomenal debut on June 12, 2013 with the song &quot;No More Dream,&quot; winning several &ldquo;New Artist of the Year&rdquo; awards for the track. The band continued to rise to prominence with their subsequent albums, even making it onto the global scene by 2017. In the US, BTS became the first Korean group to receive a certification from the Recording Industry Association of America (RIAA) for their single &quot;Mic Drop&quot;, and also became the first Korean act to top the US Billboard 200 chart with their studio album Love Yourself: Tear (2018).&nbsp;",2013,SK
389341,BLACKPINK,,2016,SK
358973,ITZY,"Itzy is a girl group under JYP Entertainment which debuted in February 2019. The group has five members consisting of Yeji, Lia, Ryujin, Chaeryeong and Yuna. The group debuted on February 12 with their debut single, &ldquo;It&rsquo;z Different.&rdquo; The lead track is a house and EDM number titled &ldquo;Dalla Dalla.&rdquo; The group gained attention for being JYP&rsquo;s brand new girl group and their debut is considered to be a relative success with the music video for &ldquo;Dalla Dalla&rdquo; surpassing 17.1 million views within 24 hours of its release. On March 9, 2020, Itzy released their second EP, It&#39;z Me, and its lead single &quot;Wannabe&quot;.",2019,SK
348488,Oh My Girl,"The band Oh My Girl (also stylized as OH MY GIRL and OMG) is a girl group that debuted in 2015 under WM Entertainment. The group consists of seven members: Hyojung, Mimi, YooA, Seunghee, Jiho, Binnie and Arin. The group originally consisted of eight members at their debut but JinE left the group in October 2017 due to health issues. Since their debut, the group has been publicized as the sister group to their label-mate B1A4. Three members of the group; Hyojung, Binnie and Arin, formed the sub-unit Oh My Girl Banhana, which released an album in April 2018. The group made a comeback with their 7th EP, &ldquo;Nonstop,&rdquo; in April 2020.",2015,SK
370622,NCT Dream,"NCT Dream is the 3rd sub-unit of the boy band NCT. The group was originally formed as a teen-aged unit of NCT, but rebranded in 2020 when all the members became legal adults in Korea. The group debuted in 2016 with the single &ldquo;Chewing Gum&rdquo; with the lineup including seven members: Mark, Renjun, Jeno, Haechan, Jaemin, Chenle, and Jisung.",2016,SK
366724,Jang Hye-jin &amp; Yun Min-Soo,Jang Hye-jin is a singer who debuted in 1991 with the single &ldquo;Always in my Dreams&rdquo;. Yoon Min-soo is a singer and television personality who is a member of the R&amp;B group Vibe with Ryu Jae-hyun. Jang and Yoon recently collaborated on a single titled &ldquo;Drunk on Love&rdquo;.,1991,SO
348337,Ben,"Ben (Lee Eun-young) is a singer who debuted as a member of the girl group Bebe Mignon in 2010. In 2012 she debuted as a solo artist with her first album &ldquo;147.5.&rdquo; To date, she has recorded many songs for Korean dramas and films including &ldquo;Misty Road&rdquo; for the 2017 hit &ldquo;Love in the Moonlight.&rdquo;",2010,SO
367651,Song Ha-ye,"Song Haye is a singer who debuted in 2013 after taking part in audition programs such as Made in U and K-POP Star Season 2. After taking part in K-POP Star Season 2, she released two digital singles with other singers who took part in the show and made her official debut through Hello Music Entertainment.",1808,SO
368860,Hwang In-wook,"Hwang In-wook, born January 19, 1988, worked as a vocal trainer before officially debuting as an artist with his 1<sup>st</sup> album in July 2017. The first album was titled &ldquo;I Want to be Drunk&rdquo;. He also took part in the audition reality program Super Star K. His most recent single &ldquo;Phocha&rdquo; was released in June 2019.",2017,SO
364963,Lim Jae-hyun,Lim Jae-hyun is a Korean singer who debuted in 2017 by taking part in the original soundtrack for &ldquo;Closers&rdquo;. He became famous after his first single &ldquo;If There Was Practice in Love&rdquo; rose to first place on major music charts upon its release in 2018 surpassing hit groups like BTS and Winner.,2017,SO
352301,EXO,"EXO is a South Korean boy band with multinational members. The group debuted under SM Entertainment in 2012 with twelve members and separated into two sub-groups: Exo-K and Exo-M. Exo-K performed in Korean while Exo-M performed in Mandarin. Since 2013, the group has remained as a single group while three members (Kris, Luhan, Tao) left amid legal issues in 2014 and 2015. Since 2016, Chen Baekhyun and Xiumin have released music and performed as a sub-unit named Exo-CBS while all members maintain solo careers in music, film and television.",2012,SK
232538,Yoon Jong-shin,"Yoon Jong-shin made his debut as a guest singer for 015B’s hit “On the Empty Street” and has since expanded his presence as one of the leading singer/songwriters, producers and entertainers in Korea.     Yoon also began producing albums and writing music for films starting from the 2000s. From 2010, Yoon also released collaborative monthly project albums (usually singles) each month.     The multi-talented singer/producer has also dabbled in acting and is a regular cast member for a wide variety of popular reality and variety shows.",1990,SO
347055,Sunmi,,2007,SO
357627,Hwang Chi-yeol,"Hwang Chi-yeul is a South Korean singer who officially debuted in 2007 with the release of the digital single &ldquo;Chi Yeul&rdquo; and full-length album &ldquo;Five Senses.&rdquo; Hwang spent many years after his debut as a vocal coach for idol bands because his management company closed. However, his career took off again after making appearances on TV shows such as &ldquo;I Can See Your Voice&rdquo; in 2015 and China&rsquo;s &ldquo;I Am a Singer (Season 4)&rdquo; in 2016.",2007,SO
361999,Taeyeon,"Taeyeon is a South Korean singer who debuted as a member of Girls&rsquo; Generation in 2007. She has been involved in various sub-units and project groups such as TTS with fellow Girls&rsquo; Generation members Tiffany and Seohyun as well as Oh! GG. Taeyeon began her solo career in 2015 with her first EP I, and has also recorded songs from various television dramas and movies.",2007,SO
393964,Im Chang-jung,,1990,SO
236472,Zion.T,"One of the most unique voices to hit Korea's music scene debuted in 2011 from the well-known Korean hip hop label Amoeba Culture (also home to Supreme Team, Dynamic Duo, Yankee, Primary, etc.). He was featured on hit hip hop songs that emerged that year and onwards.  Though it's highly likely that those songs would've succeeded with or without Zion.T, it was also undeniable certain that the young singer added distinct flavor and soul that made the songs another notch addictive.    Zion.T's voice can be described to have a slight reggae soul factor, with a tone that's hard to describe. Having a slightly nasally robotic tone, he makes the lines of the verses flow as one.    He released a couple of solo tracks and although they haven't done as well as some of the other songs he's featured for, there's no doubt that Korea is starting to get to know Zion.T more and more, and like his unique style more and more.",2011,SO
238781,gary,"The story behind rapper Gary's stage name stems from his nickname ""Gae"" (which means ""dog"" in Korean) that formed in middle school. He decided to use the word in his stage name, and after debating between ""Gaemi"" (which means ""ant"") and ""Gary"", he decided to go with the latter.  Gary initially started off as a dancer more than a rapper. He even was scouted by SM Entertainment, alongside Jang Woo-hyuk and Moon Hee-jun. However, Gary decided to reject the offer.    The rapper also trained as a bodyguard and was an amateur boxer for 10 years.   In 1997, Gary joined a hip hop group called X-Teen where he met his future Leessang partner Gil. The two eventually ended up being dropped by the group in 1998. Gary and Gil went on to join Honey Family, releasing two albums in 1999 and 2000. After leaving Honey Family, Gary teamed up with Gil and another Honey Family member named Diggety to form Leesam (""sam"" means ""three"" in Korean). Diggety left soon after the group's first album release in 2000, forcing Gary and Gil to change their group name to Leessang (""ssang"" means ""pair"" in Korean).  After Leessang's formation in 2002, the group achieved ultimate success. Their most successful album to date was ""Asura Babalta"", which topped all the charts in Korea in 2011.   Gary released his first solo mini album in 2014. However, his title song ""Shower Later""  was banned from broadcasts due to its racy lyrics and sexual music video.  Gary also saw much success teaming up with singer Jungin. Their songs ""Your Scent"" and ""Bicycle"" received much love.   Gary released his second solo release in 2015, featuring the title track ""Get Some Air"" featuring Miwoo.  Gary is also well known for his role on the popular variety program ""Running Man"". He is often romantically linked with fellow castmate Song Ji-hyo.",1999,SO
235488,Ailee,"Ailee is one of the hottest solo acts to debut onto the kpop scene in 2012. Although she's said to have been ""discovered"" by Wheesung here in Korea, she's been singing long before.    Originally from New Jersey of the United States, Ailee was already a youtube and myspace sensation before she moved to Korea to pursue a singing career here. She was popular for her Mariah Carey, Beyonce, and Rihanna covers that she uploaded onto youtube.com. She also participated in a singing competition on the popular US show The Maury Show.     After coming to Korea, she participated in a show called Singers and Trainees, where she performed alongside Wheesung. She won first place, having been praised by the judges for her vocal talents and stage presence even before her official solo debut. She even featured on Wheesung's song ""They're Coming"", adding a certain extra element to the track.    She made her small screen debut before her solo singing one. She was added to the cast of the popular drama <Dream High 2>, alongside some of the most notable idol stars today. She later released her first solo single, ""Heaven"", in February of 2012.",2012,SO
391811,Sandeul,,2011,SO
390817,Park Jin-young,"Park Jin-young, also known as JYP is a singer-songwriter, record producer and record executive. Park rose to stardom as a singer following the release of his debut album &ldquo;Blue City&rdquo; in 1994. In 1997 he founded JYP Entertainment, one of the most profitable entertainment management agencies in Korea that has produced stars such as Rain, Wonder Girls, 2PM, TWICE etc.",1994,SO
390155,Jessi,"Jessica Ho (born December 17, 1988), better known by her stage name Jessi, is an American rapper, singer, and songwriter based in South Korea. She debuted at 15 under Doremi media in 2003 with the single album Get Up. After a five-year hiatus in 2014 Jessi returned as a member of hip-hop trio Lucky J with rapper J&#39;Kyun and vocalist J-Yo. In 2015, Jessi was part of the first season of Unpretty Rapstar, a female rapper survival program, and was chosen as the second-place winner of the show by audience vote. After her appearance on Unpretty Rapstar, Jessi was featured in JYP&#39;s single &quot;Who&#39;s Your Mama?&quot; and its music video which helped her to cement her fame from the reality show. She released her first ever solo rap single, &quot;Ssenunni&quot;, on September 15 that year.",2012,SO
358962,Hwa Sa,,2014,SO
373333,Jeon Sang-keun,Jeon Sang-geun is a singer who debuted through the cable mystery music game show &ldquo;I Can See Your Voice&rdquo; Season 2. He has been taking part in various original soundtracks for films and dramas. He recently released the single &ldquo;I Still Love You a Lot&rdquo; in 2019.,2016,SO
348986,Vibe,"VIBE is a South Korean R&amp;B group which debuted in 2002 as a trio consisting of singers Yoon Min-soo and Ryu Jae-hyun as well as rapper Yoo Sung-gyu. Their first single, &ldquo;Although It is Hateful, Again&rdquo; was a success and succeeding singles also became hits helping the group cement their status as consistent hit makers. The rapper left the group before the release of their 3<sup>rd</sup> album which was also successful. &nbsp;",2002,SK
372057,Hynn,Hynn is the stage name for South Korean singer Park Hye-won who is under the label New Order Entertainment. She debuted on the audition survival show Superstar K in 2016 and made it to the top 3 with her powerful vocals. She released her first EP The Lonely Bloom Stands Alone in 2019.,2016,SO
